,NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
71503,210062137785;2024;4;F;1;3;1;2;0;1;0;2303907;Chaval;23;CE;B;B;A;B;4;A;B;A;B;C;A;B;B;A;A;A;A;B;A;A;A;C;A
71504,210062137786;2024;2;M;1;1;1;2;0;1;0;3147907;Passos;31;MG;F;E;D;B;3;A;K;A;C;C;B;B;C;A;B;B;B;D;B;B;A;D;B
71505,210062137787;2024;3;F;1;2;1;2;0;1;0;2927408;Salvador;29;BA;D;E;C;B;3;A;D;A;B;C;B;A;B;A;A;B;A;B;A;A;A;D;D
71506,210062137788;2024;4;F;1;1;1;2;0;1;0;4128104;Umuarama;41;PR;H;H;C;C;3;B;B;A;C;D;B;A;B;A;B;B;A;B;A;B;A;E;A
71507,210062137789;2024;2;F;1;3;1;2;0;1;0;3305208;São Pedro da Aldeia;33;RJ;F;C;D;B;3;A;I;A;C;D;C;A;B;A;B;B;B;D;A;B;B;D;D
71508,210062137790;2024;5;F;1;1;1;1;2;;0;5103403;Cuiabá;51;MT;E;G;D;D;3;A;G;A;C;C;B;A;B;A;B;B;A;C;A;B;B;D;D
71509,210062137791;2024;3;M;1;1;1;2;0;1;0;2211001;Teresina;22;PI;E;E;C;A;4;B;B;A;B;C;A;B;B;A;A;A;A;B;A;B;B;C;A
71510,210062137792;2024;8;M;1;2;1;1;5;;0;2927408;Salvador;29;BA;E;B;B;B;4;B;E;A;B;C;A;A;B;A;B;A;A;C;A;B;C;E;A
71511,210062137793;2024;2;M;0;1;1;3;0;;1;2611606;Recife;26;PE;F;F;E;E;4;B;Q;D;D;D;D;A;C;B;B;B;B;D;B;B;D;E;D
71512,210062137794;2024;3;F;1;1;1;2;0;1;0;3550308;São Paulo;35;SP;E;E;C;D;3;B;G;A;C;C;C;A;B;A;B;B;A;C;A;B;D;E;A
71513,210062137795;2024;1;F;1;3;1;4;0;;0;1302603;Manaus;13;AM;D;E;F;B;2;A;A;A;B;C;A;A;B;A;B;B;A;B;A;B;A;B;F
71514,210062137796;2024;13;M;3;2;1;1;18;;0;3304557;Rio de Janeiro;33;RJ;E;F;E;E;2;B;B;A;C;C;A;A;B;A;B;A;B;C;B;B;C;C;A
71515,210062137797;2024;11;M;1;2;1;1;2;;0;4219507;Xanxerê;42;SC;H;H;F;F;5;B;G;A;C;D;B;A;C;A;B;B;B;C;A;B;B;E;B
71516,210062137798;2024;2;F;1;1;1;2;0;1;0;3538006;Pindamonhangaba;35;SP;D;E;C;B;3;A;D;A;B;C;A;A;B;A;B;B;A;C;B;B;B;B;A
